source,line,literal_or_template_fragment
streamlit.py,38,page01
streamlit.py,39,page02
streamlit.py,40,page03
streamlit.py,41,page04
streamlit.py,42,page05
streamlit.py,43,page06
streamlit.py,44,page07
streamlit.py,45,page08
streamlit.py,47,page06
streamlit.py,29,📊
streamlit.py,30,wide
streamlit.py,31,expanded
streamlit.py,48,admin
streamlit.py,7,src
streamlit.py,28,app.browser_title
streamlit.py,51,app.title
streamlit.py,52,app.caption
streamlit.py,55,workflow_page
streamlit.py,56,workflow_page
streamlit.py,58,navigation.workflow
streamlit.py,60,workflow_page
streamlit.py,62,app.active_evidence
streamlit.py,8,src
streamlit.py,59,navigation.
src/components/auth.py,19,auth.title
src/components/auth.py,20,auth.caption
src/components/auth.py,21,login
src/components/auth.py,29,admin
src/components/auth.py,22,auth.username
src/components/auth.py,22,login_username
src/components/auth.py,23,auth.password
src/components/auth.py,23,password
src/components/auth.py,23,login_password
src/components/auth.py,24,auth.sign_in
src/components/auth.py,24,stretch
src/components/auth.py,32,user
src/components/auth.py,14,auth.signed_in
src/components/auth.py,15,auth.log_out
src/components/auth.py,15,stretch
src/components/auth.py,15,logout
src/components/auth.py,35,auth.invalid
src/components/auth.py,14,roles.
src/components/data_source.py,23,pipelines
src/components/data_source.py,24,pipelines
src/components/data_source.py,33,runs
src/components/data_source.py,55,analysis_root
src/components/data_source.py,62,pending_workspace
src/components/data_source.py,77,admin
src/components/data_source.py,23,docs
src/components/data_source.py,24,docs
src/components/data_source.py,27,*.png
src/components/data_source.py,37,run_summary.json
src/components/data_source.py,56,source.title
src/components/data_source.py,59,source.baseline
src/components/data_source.py,65,workspace_selector
src/components/data_source.py,68,source.workspace
src/components/data_source.py,69,workspace_selector
src/components/data_source.py,103,valid
src/components/data_source.py,22,raw
src/components/data_source.py,37,08_full_pipeline
src/components/data_source.py,78,source.standard_user
src/components/data_source.py,81,source.upload_title
src/components/data_source.py,82,source.upload_caption
src/components/data_source.py,84,source.upload_label
src/components/data_source.py,84,global_dataset_upload
src/components/data_source.py,98,source.rows
src/components/data_source.py,99,source.columns
src/components/data_source.py,99,columns
src/components/data_source.py,100,source.schema_gate
src/components/data_source.py,102,issues
src/components/data_source.py,113,source.process
src/components/data_source.py,114,primary
src/components/data_source.py,115,stretch
src/components/data_source.py,117,process_uploaded_dataset
src/components/data_source.py,120,%Y%m%dT%H%M%SZ
src/components/data_source.py,121,_
src/components/data_source.py,124,ai_jobs_market_2025_2026.csv
src/components/data_source.py,135,source.run_label
src/components/data_source.py,139,prediction_queue
src/components/data_source.py,140,last_prediction_batch
src/components/data_source.py,22,data
src/components/data_source.py,37,outputs
src/components/data_source.py,42,source.run_label
src/components/data_source.py,84,csv
src/components/data_source.py,87,source.no_file
src/components/data_source.py,100,status.pass
src/components/data_source.py,100,status.fail
src/components/data_source.py,104,source.schema_passed
src/components/data_source.py,106,source.schema_failed
src/components/data_source.py,108,stretch
src/components/data_source.py,109,source.expected_columns
src/components/data_source.py,110,stretch
src/components/data_source.py,122,runs
src/components/data_source.py,124,raw
src/components/data_source.py,141,source.completed
src/components/data_source.py,93,source.parse_failed
src/components/data_source.py,98,rows
src/components/data_source.py,98,","
src/components/data_source.py,100,valid
src/components/data_source.py,110,field_table
